a,error,error_scaled,s,tau,v,v_scaled
500.0,0.0001739075115478924,0.0017390751154789238,156.52475842498527,0.1,0.002,0.02
250.0,0.0004944779722365038,0.004944779722365037,77.45966692414834,0.1,0.004,0.04
166.66666666666666,0.00091327127508257,0.0091327127508257,51.099032389186306,0.1,0.006,0.06
125.0,0.0014136998461829245,0.014136998461829245,37.914377220257755,0.1,0.008,0.08
99.99999999999999,0.001986579400252076,0.019865794002520757,29.999999999999996,0.1,0.010000000000000002,0.1
83.33333333333333,0.0026260138518612846,0.026260138518612846,24.72066162365221,0.1,0.012,0.12
71.42857142857142,0.0033279220919411145,0.03327922091941114,20.94696899802168,0.1,0.014000000000000002,0.14
62.5,0.004089356958644437,0.04089356958644437,18.1142209327368,0.1,0.016,0.16
55.55555555555556,0.004908141712768027,0.04908141712768027,15.90869007030706,0.1,0.018,0.18
49.99999999999999,0.005782656265014777,0.05782656265014777,14.14213562373095,0.1,0.020000000000000004,0.2
45.45454545454545,0.006711702318388371,0.06711702318388371,12.694763676153583,0.1,0.022000000000000002,0.22
41.666666666666664,0.007694415898945351,0.0769441589894535,11.486707293408518,0.1,0.024,0.24
38.46153846153846,0.008730205099203931,0.0873020509920393,10.462669622104187,0.1,0.026000000000000002,0.26
35.71428571428571,0.009818710154060172,0.09818710154060172,9.583148474999097,0.1,0.028000000000000004,0.28
33.333333333333336,0.010959770141674034,0.10959770141674034,8.81917103688197,0.1,0.03,0.3
31.25,0.012153404037014056,0.12153404037014055,8.14900300650331,0.1,0.032,0.32
29.41176470588235,0.013399795079359676,0.13399795079359675,7.556019163920664,0.1,0.034,0.34
27.77777777777778,0.014699280227603133,0.14699280227603131,7.027283689263066,0.1,0.036,0.36
26.315789473684205,0.016052343874831287,0.16052343874831287,6.552578735783542,0.1,0.038000000000000006,0.38
24.999999999999996,0.01745961496538341,0.1745961496538341,6.123724356957944,0.1,0.04000000000000001,0.4
23.809523809523807,0.01892186588062062,0.1892186588062062,5.73409265656776,0.1,0.042,0.42
22.727272727272727,0.02044001476145894,0.20440014761458938,5.378254348272379,0.1,0.044000000000000004,0.44
21.739130434782606,0.02201513060584035,0.2201513060584035,5.05171740809663,0.1,0.046000000000000006,0.46
20.833333333333332,0.023648438260238432,0.2364843826023843,4.750730937913075,0.1,0.048,0.48
20.0,0.02534132946858359,0.2534132946858359,4.47213595499958,0.1,0.05,0.5
19.23076923076923,0.027095373080044123,0.2709537308004412,4.213250442347432,0.1,0.052000000000000005,0.52
18.518518518518515,0.02891233009648861,0.2891233009648861,3.9717797388013354,0.1,0.054000000000000006,0.54
17.857142857142854,0.030794172649044688,0.3079417264904469,3.745745886321969,0.1,0.05600000000000001,0.56
17.24137931034483,0.032743103865906086,0.3274310386590608,3.533431298606759,0.1,0.057999999999999996,0.58
16.666666666666668,0.03476158533995243,0.3476158533995243,3.333333333333334,0.1,0.06,0.6
16.129032258064516,0.036852369289754626,0.3685236928975462,3.144127208002892,0.1,0.062,0.62
15.625,0.03901853584315694,0.3901853584315694,2.9646353064078554,0.1,0.064,0.64
15.15151515151515,0.041263541624267805,0.412635416242678,2.7938013506948143,0.1,0.066,0.66
14.705882352941176,0.043591274153801665,0.4359127415380166,2.6306682088232822,0.1,0.068,0.68
14.285714285714285,0.04600612539865451,0.46006125398654507,2.4743582965269675,0.1,0.07,0.7000000000000001
13.88888888888889,0.0485130778456825,0.48513077845682495,2.3240556292613213,0.1,0.072,0.72
13.513513513513514,0.05111781524906471,0.511178152490647,2.17898858062123,0.1,0.074,0.74
13.157894736842103,0.05382686390265274,0.5382686390265273,2.038412287477587,0.1,0.07600000000000001,0.76
12.820512820512818,0.05664777358025452,0.5664777358025451,1.901589355665554,0.1,0.07800000000000001,0.78
12.499999999999998,0.059589356662088255,0.5958935666208826,1.7677669529663687,0.1,0.08000000000000002,0.8
12.195121951219509,0.06266200783214579,0.6266200783214578,1.636147300609601,0.1,0.08200000000000002,0.8200000000000001
11.904761904761903,0.06587814205387317,0.6587814205387317,1.5058465048420853,0.1,0.084,0.84
11.627906976744185,0.06925281238820301,0.69252812388203,1.3758325076975852,0.1,0.08600000000000001,0.86
11.363636363636363,0.0728046089588335,0.728046089588335,1.2448239943299235,0.1,0.08800000000000001,0.88
11.111111111111109,0.07655702235432746,0.7655702235432745,1.1111111111111103,0.1,0.09000000000000001,0.9
10.869565217391303,0.08054062033176163,0.8054062033176163,0.9722034684781691,0.1,0.09200000000000001,0.92
10.638297872340424,0.0847967686283357,0.847967686283357,0.8240390098313637,0.1,0.09400000000000001,0.9400000000000001
10.416666666666666,0.08938462370477604,0.8938462370477603,0.6588078458684129,0.1,0.096,0.96
10.204081632653061,0.09439631908445974,0.9439631908445973,0.4563404035713859,0.1,0.098,0.98
10.0,0.10000000000000002,1.0000000000000002,0.0,0.1,0.1,1.0
50.0,0.001739074850500001,0.001739074850500001,49.49747468305833,1.0,0.02,0.02
25.0,0.004944780176283164,0.004944780176283164,24.49489742783178,1.0,0.04,0.04
16.666666666666668,0.00913271393869651,0.00913271393869651,16.15893285805443,1.0,0.06,0.06
12.5,0.014136999838106073,0.014136999838106073,11.989578808281799,1.0,0.08,0.08
10.0,0.019865795201740418,0.019865795201740418,9.486832980505138,1.0,0.1,0.1
8.333333333333334,0.026260140068973724,0.026260140068973724,7.817359599705717,1.0,0.12,0.12
7.142857142857142,0.033279222655365204,0.033279222655365204,6.624013211068359,1.0,0.14,0.14
6.25,0.04089357123271141,0.04089357123271141,5.7282196186948,1.0,0.16,0.16
5.555555555555555,0.049081418841384825,0.049081418841384825,5.0307695211874535,1.0,0.18,0.18
5.0,0.057826562982030025,0.057826562982030025,4.47213595499958,1.0,0.2,0.2
4.545454545454546,0.06711702444470728,0.06711702444470728,4.014436757421749,1.0,0.22,0.22
4.166666666666667,0.07694415895125696,0.07694415895125696,3.632415786283895,1.0,0.24,0.24
3.846153846153846,0.08730205327657121,0.08730205327657121,3.308586641170241,1.0,0.26,0.26
3.571428571428571,0.09818710011850876,0.09818710011850876,3.0304576336566322,1.0,0.28,0.28
3.3333333333333335,0.10959769798329938,0.10959769798329938,2.7888667551135855,1.0,0.3,0.3
3.125,0.12153403712798158,0.12153403712798158,2.576941016011038,1.0,0.32,0.32
2.941176470588235,0.13399794771578963,0.13399794771578963,2.3894230601870468,1.0,0.34,0.34
2.7777777777777777,0.14699279981561145,0.14699279981561145,2.2222222222222223,1.0,0.36,0.36
2.6315789473684212,0.16052343796366156,0.16052343796366156,2.0721073352662662,1.0,0.38,0.38
2.5,0.17459614898085832,0.17459614898085832,1.9364916731037085,1.0,0.4,0.4
2.380952380952381,0.18921865893045445,0.18921865893045445,1.813279310919978,1.0,0.42,0.42
2.272727272727273,0.20440015005610107,0.20440015005610107,1.700753357624519,1.0,0.44,0.44
2.1739130434782608,0.22015130819533477,0.22015130819533477,1.5974933105107683,1.0,0.46,0.46
2.0833333333333335,0.23648438591614385,0.23648438591614385,1.502313031443329,1.0,0.48,0.48
2.0,0.2534132966610118,0.2534132966610118,1.4142135623730951,1.0,0.5,0.5
1.923076923076923,0.2709537309893551,0.2709537309893551,1.3323467750529823,1.0,0.52,0.52
1.8518518518518516,0.2891233013296701,0.2891233013296701,1.2559870339120864,1.0,0.54,0.54
1.7857142857142856,0.3079417245373158,0.3079417245373158,1.184508853698357,1.0,0.56,0.56
1.7241379310344829,0.3274310350003595,0.3274310350003595,1.11736908593239,1.0,0.58,0.58
1.6666666666666667,0.34761585149454394,0.34761585149454394,1.0540925533894598,1.0,0.6,0.6
1.6129032258064517,0.3685236927013074,0.3685236927013074,0.9942603230595125,1.0,0.62,0.62
1.5625,0.39018536261894177,0.39018536261894177,0.9375,1.0,0.64,0.64
1.5151515151515151,0.4126354182662709,0.4126354182662709,0.8834775598250455,1.0,0.66,0.66
1.4705882352941175,0.4359127437520147,0.4359127437520147,0.8318903308077028,1.0,0.68,0.68
1.4285714285714284,0.4600612548879307,0.4600612548879307,0.7824607964359513,1.0,0.7000000000000001,0.7000000000000001
1.3888888888888888,0.48513077709317143,0.48513077709317143,0.734930919740164,1.0,0.72,0.72
1.3513513513513513,0.5111781512056179,0.5111781512056179,0.6890566910260519,1.0,0.74,0.74
1.3157894736842106,0.5382686378043197,0.5382686378043197,0.6446025638903101,1.0,0.76,0.76
1.282051282051282,0.566477735660111,0.566477735660111,0.6013353538235164,1.0,0.78,0.78
1.25,0.5958935675033878,0.5958935675033878,0.5590169943749475,1.0,0.8,0.8
1.2195121951219512,0.6266200788280245,0.6266200788280245,0.5173952057462542,1.0,0.8200000000000001,0.8200000000000001
1.1904761904761905,0.6587814204767506,0.6587814204767506,0.47619047619047616,1.0,0.84,0.84
1.1627906976744187,0.6925281235193315,0.6925281235193315,0.43507644032255144,1.0,0.86,0.86
1.1363636363636365,0.72804608951371,0.72804608951371,0.3936479108111086,1.0,0.88,0.88
1.1111111111111112,0.7655702236506892,0.7655702236506892,0.3513641844631534,1.0,0.9,0.9
1.0869565217391304,0.8054062033297597,0.8054062033297597,0.3074377309506727,1.0,0.92,0.92
1.0638297872340425,0.8479676862737271,0.8479676862737271,0.26058401518969976,1.0,0.9400000000000001,0.9400000000000001
1.0416666666666667,0.8938462370475898,0.8938462370475898,0.20833333333333354,1.0,0.96,0.96
1.0204081632653061,0.9439631908445928,0.9439631908445928,0.1443075063646016,1.0,0.98,0.98
1.0,1.0000000000000002,1.0000000000000002,0.0,1.0,1.0,1.0
5.0,0.017390748373544603,0.0017390748373544603,15.652475842498529,10.0,0.2,0.02
2.5,0.049447800021720036,0.004944780002172003,7.745966692414834,10.0,0.4,0.04
1.6666666666666667,0.09132713833155201,0.009132713833155202,5.109903238918631,10.0,0.6,0.06
1.25,0.14136999719933532,0.014136999719933532,3.7914377220257753,10.0,0.8,0.08
1.0,0.1986579515100683,0.01986579515100683,3.0,10.0,1.0,0.1
0.8333333333333334,0.26260140032806917,0.026260140032806918,2.472066162365221,10.0,1.2,0.12
0.7142857142857142,0.3327922240683009,0.03327922240683009,2.094696899802168,10.0,1.4000000000000001,0.14
0.625,0.4089357111209728,0.04089357111209728,1.8114220932736798,10.0,1.6,0.16
0.5555555555555556,0.49081418590219417,0.04908141859021942,1.5908690070307059,10.0,1.7999999999999998,0.18
0.5,0.57826562925234,0.057826562925234005,1.4142135623730951,10.0,2.0,0.2
0.45454545454545453,0.6711702436780395,0.06711702436780395,1.2694763676153582,10.0,2.2,0.22
0.4166666666666667,0.7694415907266781,0.0769441590726678,1.1486707293408518,10.0,2.4,0.24
0.3846153846153846,0.8730205348205191,0.08730205348205192,1.0462669622104186,10.0,2.6,0.26
0.3571428571428571,0.9818710045438125,0.09818710045438125,0.9583148474999098,10.0,2.8000000000000003,0.28
0.3333333333333333,1.0959769847052312,0.10959769847052311,0.8819171036881968,10.0,3.0,0.3
0.3125,1.2153403736975923,0.12153403736975923,0.8149003006503311,10.0,3.2,0.32
0.2941176470588235,1.3399794801994092,0.13399794801994092,0.7556019163920662,10.0,3.4000000000000004,0.34
0.2777777777777778,1.4699280004538307,0.14699280004538307,0.7027283689263065,10.0,3.5999999999999996,0.36
0.2631578947368421,1.6052343787154761,0.1605234378715476,0.6552578735783543,10.0,3.8,0.38
0.25,1.7459614895420048,0.17459614895420048,0.6123724356957945,10.0,4.0,0.4
0.23809523809523808,1.8921865853562858,0.18921865853562858,0.573409265656776,10.0,4.2,0.42
0.22727272727272727,2.0440014980612737,0.20440014980612736,0.5378254348272378,10.0,4.4,0.44
0.21739130434782605,2.2015130774452887,0.22015130774452887,0.505171740809663,10.0,4.6000000000000005,0.46
0.20833333333333334,2.3648438569720382,0.2364843856972038,0.4750730937913075,10.0,4.8,0.48
0.2,2.5341329670370696,0.25341329670370694,0.4472135954999579,10.0,5.0,0.5
0.1923076923076923,2.709537309909987,0.27095373099099873,0.4213250442347431,10.0,5.2,0.52
0.18518518518518517,2.8912330174126204,0.28912330174126205,0.39717797388013354,10.0,5.4,0.54
0.17857142857142855,3.079417246927559,0.30794172469275594,0.37457458863219695,10.0,5.6000000000000005,0.56
0.1724137931034483,3.274310352530542,0.32743103525305417,0.35334312986067584,10.0,5.8,0.58
0.16666666666666666,3.4761585158989345,0.34761585158989344,0.33333333333333326,10.0,6.0,0.6
0.16129032258064516,3.6852369254430766,0.36852369254430767,0.31441272080028915,10.0,6.2,0.62
0.15625,3.9018536217096282,0.39018536217096284,0.29646353064078557,10.0,6.4,0.64
0.1515151515151515,4.126354180536491,0.41263541805364906,0.27938013506948134,10.0,6.6000000000000005,0.66
0.14705882352941174,4.359127438009722,0.43591274380097217,0.2630668208823281,10.0,6.800000000000001,0.68
0.14285714285714285,4.600612550070563,0.4600612550070563,0.2474358296526967,10.0,7.000000000000001,0.7000000000000001
0.1388888888888889,4.851307774105865,0.4851307774105865,0.2324055629261321,10.0,7.199999999999999,0.72
0.13513513513513511,5.11178151304971,0.511178151304971,0.21789885806212286,10.0,7.4,0.74
0.13157894736842105,5.382686377777379,0.5382686377777379,0.20384122874775873,10.0,7.6,0.76
0.1282051282051282,5.664777354557622,0.5664777354557622,0.19015893556655541,10.0,7.800000000000001,0.78
0.125,5.958935674251723,0.5958935674251723,0.1767766952966369,10.0,8.0,0.8
0.1219512195121951,6.266200788847947,0.6266200788847948,0.1636147300609601,10.0,8.200000000000001,0.8200000000000001
0.11904761904761904,6.5878142053839195,0.658781420538392,0.15058465048420852,10.0,8.4,0.84
0.11627906976744186,6.9252812350009165,0.6925281235000916,0.13758325076975852,10.0,8.6,0.86
0.11363636363636363,7.2804608948315686,0.7280460894831569,0.12448239943299225,10.0,8.8,0.88
0.1111111111111111,7.655702236524032,0.7655702236524032,0.11111111111111113,10.0,9.0,0.9
0.10869565217391303,8.054062033345303,0.8054062033345304,0.09722034684781691,10.0,9.200000000000001,0.92
0.10638297872340426,8.479676862726972,0.8479676862726973,0.08240390098313652,10.0,9.4,0.9400000000000001
0.10416666666666667,8.938462370474156,0.8938462370474156,0.0658807845868413,10.0,9.6,0.96
0.1020408163265306,9.43963190844593,0.943963190844593,0.04563404035713834,10.0,9.8,0.98
0.1,10.0,1.0,0.0,10.0,10.0,1.0
